状态	分组	本地文件名	来源项目	来源版本	原始路径	处理方式
已支持	01_PDF文档	OmniDocBench_PPT复杂页面.pdf	OmniDocBench	aa1ee96d106dbe53d0ae59474d75c6e6d9b53fec	images/PPT_Catalysis.ppt_page_003.png	使用OmniDocBench官方image_to_pdf.py转换；扫描纯图PDF与零值边界正例
已支持	01_PDF文档	PDF密码保护样本.pdf	delivr_to_file_samples	bbe8f8001b09733b436f133cfe7ad130849056c5	samples/test_encrypted_pdf.pdf	原始下载
已支持	02_Word现代文档	Word宏文档.docm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testWORD_macros.docm	原始下载
已支持	02_Word现代文档	Word普通模板.dotx	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testWORD_template.dotx	原始下载
已支持	02_Word现代文档	Word宏模板.dotm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testDOTM.dotm	原始下载
已支持	02_Word现代文档	Word加密文档.docx	delivr_to_file_samples	bbe8f8001b09733b436f133cfe7ad130849056c5	samples/test_encrypted_docx.docx	原始下载
已支持	03_Excel现代工作簿	Excel宏工作簿.xlsm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_macro.xlsm	原始下载
已支持	03_Excel现代工作簿	Excel普通模板.xltx	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_template.xltx	原始下载
已支持	03_Excel现代工作簿	Excel宏模板.xltm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_macro_enabled_template.xltm	原始下载
已支持	03_Excel现代工作簿	Excel二进制综合工作簿.xlsb	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_various.xlsb	原始下载
已支持	03_Excel现代工作簿	Excel加密工作簿.xlsx	delivr_to_file_samples	bbe8f8001b09733b436f133cfe7ad130849056c5	samples/test_encrypted_xlsx.xlsx	原始下载
已支持	04_PowerPoint现代演示文稿	PowerPoint宏演示文稿.pptm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT_macros.pptm	原始下载
已支持	04_PowerPoint现代演示文稿	PowerPoint放映文件.ppsx	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT.ppsx	原始下载
已支持	04_PowerPoint现代演示文稿	PowerPoint宏放映文件.ppsm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT.ppsm	原始下载
已支持	04_PowerPoint现代演示文稿	PowerPoint普通模板.potx	Apache_POI	3e24e7d6f4151b993232ee67faae650ade533712	test-data/slideshow/bug59273.potx	原始下载
已支持	04_PowerPoint现代演示文稿	PowerPoint宏模板.potm	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT.potm	原始下载
